Servo ready
校正中 保持靜止校正完成
millis  GY_TO_servo_angle   ADC  
8353,90,584
8354,90,559
8356,90,512
8358,90,556
8359,90,547
8361,90,557
8362,90,580
8364,90,552
8366,90,567
8367,90,559
8369,90,576
8370,90,554
8372,90,545
8374,90,552
8375,90,569
8377,90,580
8378,90,585
8380,90,581
8382,90,560
8383,90,559
8385,90,564
8386,90,551
8388,90,577
8389,90,576
8391,90,564
8393,90,546
8394,90,560
8396,90,566
8398,90,565
8399,90,578
8401,90,568
8402,90,566
8404,90,578
8406,89,575
8407,89,551
8409,89,572
8410,89,579
8412,89,556
8414,89,559
8415,90,563
8417,90,553
8418,90,572
8420,90,575
8422,90,549
8423,90,581
8425,90,560
8426,90,576
8428,90,571
8430,90,582
8431,90,559
8433,90,556
8434,90,548
8436,90,582
8438,90,583
8439,90,581
8441,90,577
8442,90,585
8444,90,550
8446,90,553
8447,90,570
8449,90,580
8450,90,548
8452,90,566
8454,90,564
8455,90,568
8457,90,570
8458,90,579
8460,90,582
8462,90,549
8463,90,559
8465,90,555
8466,90,565
8468,90,574
8470,90,569
8471,90,588
8473,90,557
8474,90,575
8476,90,545
8478,90,548
8479,90,572
8481,90,563
8482,90,572
8484,90,559
8486,90,567
8487,90,560
8489,90,554
8490,90,575
8492,90,575
8494,90,576
8495,90,578
8497,90,568
8498,90,587
8500,90,582
8502,90,582
8503,90,548
8505,90,587
8506,90,582
8508,90,557
8510,90,560
8511,90,520
8513,90,559
8514,90,581
8516,90,576
8518,90,575
8519,90,578
8521,90,562
8522,90,588
8524,90,546
8526,90,583
8527,90,564
8529,90,535
8531,90,565
8532,90,581
8534,90,587
8535,90,568
8537,90,581
8538,90,578
8540,90,551
8542,90,557
8543,90,573
8545,90,557
8546,90,598
8548,90,577
8550,90,565
8551,90,575
8553,90,577
8554,90,575
8556,90,575
8558,90,581
8559,90,553
8561,90,570
8562,90,582
8564,90,576
8566,90,588
8567,90,555
8569,90,555
8570,90,563
8572,90,561
8574,90,591
8575,90,576
8577,90,545
8578,90,563
8580,90,562
8582,90,569
8583,90,567
8585,90,567
8586,90,576
8588,90,568
8590,90,558
8591,90,554
8593,90,548
8594,90,562
8596,90,554
8598,90,546
8599,90,575
8601,90,571
8602,90,571
8604,90,554
8606,90,587
8607,90,573
8609,90,556
8610,90,576
8612,90,558
8614,90,552
8615,90,567
8617,90,575
8618,90,575
8620,90,556
8622,90,564
8623,90,549
8625,90,575
8626,90,551
8628,90,754
8630,90,565
8631,90,539
8633,90,568
8634,90,553
8636,90,567
8638,90,585
8639,90,567
8641,90,586
8643,90,543
8644,90,565
8646,90,557
8647,90,571
8649,90,549
8651,90,581
8652,90,590
8654,90,565
8655,90,575
8657,90,563
8659,90,585
8660,90,571
8662,90,570
8663,90,575
8665,90,555
8667,90,551
8668,90,581
8670,90,575
8671,90,553
8673,90,567
8675,90,563
8676,90,590
8678,90,571
8679,90,578
8681,90,587
8683,90,567
8684,90,551
8686,90,585
8687,90,582
8689,90,563
8691,90,574
8692,90,583
8694,90,576
8695,90,572
8697,90,567
8699,90,563
8700,90,581
8702,90,575
8703,90,559
8705,90,552
8707,90,560
8708,90,556
8710,90,576
8711,90,546
8713,90,548
8715,90,535
8716,90,576
8718,90,573
8719,90,548
8721,90,566
8722,90,563
8724,90,553
8726,90,550
8727,90,552
8729,90,556
8730,90,565
8732,90,573
8734,90,574
8735,90,579
8737,90,583
8738,90,557
8740,90,547
8742,90,550
8743,90,562
8745,90,575
8746,90,553
8748,90,551
8750,90,554
8751,90,557
8753,90,557
8754,90,567
8756,90,584
8758,90,563
8759,90,555
8761,90,586
8763,90,601
8764,90,555
8766,90,562
8767,90,648
8769,90,556
8771,90,552
8772,90,554
8774,90,559
8775,90,545
8777,90,555
8779,90,567
8780,90,563
8782,90,567
8783,90,578
8785,90,577
8787,90,582
8788,90,583
8790,90,576
8791,90,548
8793,90,576
8795,90,558
8796,90,591
8798,90,567
8800,90,594
8801,90,563
8803,90,550
8804,90,581
8806,90,586
8808,90,578
8809,90,575
8811,90,572
8812,90,559
8814,90,580
8815,90,565
8817,90,575
8819,90,553
8820,90,582
8822,90,570
8823,90,581
8825,90,549
8827,90,576
8828,90,551
8830,90,580
8832,90,556
8833,90,567
8835,90,557
8836,90,565
8838,90,555
8840,90,579
8841,90,589
8843,90,557
8844,90,607
8846,90,578
8847,90,580
8849,90,549
8851,90,557
8852,90,575
8854,90,573
8855,90,575
8857,90,581
8859,90,573
8860,90,554
8862,90,547
8863,90,570
8865,90,573
8867,90,579
8868,90,563
8870,90,546
8871,90,555
8873,90,565
8875,90,585
8876,90,572
8878,90,565
8880,90,579
8881,90,575
8883,90,589
8884,90,555
8886,90,553
8888,90,549
8889,90,583
8891,90,553
8892,90,580
8894,90,570
8896,90,575
8897,90,571
8899,90,566
8900,90,571
8902,90,600
8904,90,548
8905,90,575
8907,90,577
8908,90,557
8910,90,576
8912,90,571
8913,90,575
8915,90,566
8916,90,582
8918,90,547
8920,90,563
8921,90,573
8923,90,573
8924,90,581
8926,90,562
8927,90,573
8929,90,575
8931,90,575
8932,90,575
8934,90,549
8935,90,578
8937,90,557
8939,90,552
8940,90,551
8942,90,556
8943,90,557
8945,90,568
8947,90,560
8948,90,556
8950,90,575
8952,90,582
8953,90,565
8955,90,578
8956,90,544
8958,90,549
8960,90,557
8961,90,559
8963,90,585
8964,90,543
8966,90,560
8968,90,558
8969,90,559
8971,90,563
8972,90,549
8974,90,582
8976,90,550
8977,90,571
8979,90,570
8980,90,572
8982,90,572
8984,90,583
8985,90,569
8987,90,559
8988,90,543
8990,90,573
8992,90,549
8993,90,588
8995,90,583
8996,90,652
8998,90,566
9000,90,580
9001,90,575
9003,90,553
9004,90,548
9006,90,549
9008,90,550
9009,90,554
9011,90,578
9012,90,544
9014,90,562
9016,90,628
9017,90,571
9019,90,580
9020,90,549
9022,90,547
9024,90,549
9025,90,577
9027,90,567
9028,90,586
9030,90,562
9032,90,561
9033,90,546
9035,90,566
9037,90,551
9038,90,452
9040,90,551
9041,90,555
9043,90,561
9044,90,595
9046,90,573
9048,90,557
9049,90,556
9051,90,578
9052,90,587
9054,90,550
9056,90,579
9057,90,574
9059,90,547
9060,90,557
9062,90,562
9064,90,597
9065,90,576
9067,90,547
9069,90,582
9070,90,552
9072,90,577
9073,90,565
9075,90,551
9077,90,570
9078,90,547
9080,90,575
9081,90,580
9083,90,560
9085,90,564
9086,90,555
9088,89,567
9089,89,555
9091,89,551
9093,89,575
9094,89,543
9096,89,590
9097,89,580
9099,90,580
9101,90,563
9102,90,555
9104,90,549
9105,90,563
9107,90,567
9109,90,551
9110,90,563
9112,90,548
9113,90,581
9115,90,590
9117,90,547
9118,90,554
9120,90,556
9121,90,568
9123,90,580
9125,90,559
9126,90,547
9128,90,547
9129,90,559
9131,90,559
9133,90,556
9134,90,564
9136,90,552
9137,90,585
