30,223
40,259
50,343
60,355
70,398
80,465
90,499
100,557
110,605
120,622
130,675
140,723
150,767
150,778
140,755
130,730
120,664
110,614
100,537
90,495
80,450
70,415
60,367
50,309
40,253
30,219
30,225
40,266
50,299
60,348
70,392
80,447
90,517
100,559
110,591
120,633
130,674
140,740
150,775
150,794
140,728
130,727
120,653
110,612
100,543
90,522
80,455
70,425
60,357
50,315
40,269
30,223
30,232
40,260
50,302
60,348
70,393
80,466
90,518
100,531
110,604
120,642
130,670
140,719
150,786
150,756
140,725
130,743
120,663
110,605
100,574
90,529
80,455
70,442
60,408
50,317
40,268
30,221
30,221
40,259
50,314
60,371
70,410
80,443
90,490
100,543
110,608
120,633
130,682
140,763
150,779
150,777
140,729
130,724
120,641
110,632
100,566
90,509
80,446
70,419
60,356
50,315
40,279
30,222
30,221
40,269
50,339
60,365
70,401
80,459
90,511
100,541
110,607
120,658
130,678
140,747
150,789
150,767
140,738
130,695
120,634
110,599
100,555
90,529
80,456
70,452
60,352
50,318
40,284
30,233
30,222
40,263
50,319
60,379
70,414
80,475
90,497
100,551
110,576
120,667
130,672
140,725
150,789
150,757
140,765
130,682
120,671
110,591
100,551
90,511
80,467
70,415
60,370
50,325
40,270
30,231
30,226
40,262
50,311
60,367
70,411
80,470
90,503
100,557
110,580
120,625
130,691
140,721
150,783
150,788
140,730
130,685
120,631
110,587
100,539
90,511
80,466
70,437
60,357
50,327
40,268
30,231
30,223
40,261
50,422
60,362
70,425
80,466
90,490
100,531
110,609
120,652
130,703
140,748
150,765
150,781
140,745
130,717
120,643
110,611
100,566
90,505
80,467
70,437
60,374
50,330
40,279
30,230
30,220
40,261
50,324
60,353
70,406
80,439
90,489
100,532
110,598
120,619
130,681
140,760
150,767
150,760
140,735
130,723
120,633
110,576
100,543
90,504
80,456
70,406
60,356
50,323
40,266
30,226
30,239
40,263
50,310
60,359
70,394
80,455
90,495
100,530
110,621
120,632
130,703
140,749
150,770
150,776
140,759
130,712
120,664
110,616
100,563
90,652
80,482
70,434
60,367
50,313
40,273
30,228
30,223
40,270
50,303
60,354
70,396
80,443
90,519
100,530
110,583
120,640
130,664
140,729
150,756
150,783
140,751
130,756
120,632
110,597
100,563
90,522
80,448
70,411
60,343
50,325
40,276
30,219
30,220
40,266
50,303
60,345
70,395
80,455
90,509
100,559
110,594
120,655
130,653
140,715
150,767
150,798
140,723
130,687
120,643
110,607
100,565
90,499
80,455
70,443
60,370
50,333
40,274
30,219
30,230
40,271
50,301
60,357
70,414
80,490
90,495
100,531
110,609
120,658
130,679
140,699
150,772
150,801
140,735
