idx,b_mm,theta_lo_deg,theta_hi_deg,theta_a0_deg,midpoint_deg,swing_deg,monotonic
1,-3.5,58.2740090585156,-21.0508839010157,16.9299729263236,18.6115625787499,79.3248929595312,1
2,-3.48597194388778,58.3257856018926,-21.1060391546008,16.9224045804557,18.6098732236459,79.4318247564934,1
3,-3.47194388777555,58.3776952174985,-21.1613221492417,16.9148113337417,18.6081865341284,79.5390173667403,1
4,-3.45791583166333,58.4297383625623,-21.2167332723286,16.9071930632464,18.6065025451168,79.646471634891,1
5,-3.4438877755511,58.4819154960736,-21.2722729125342,16.8995496452253,18.6048212917697,79.7541884086078,1
6,-3.42985971943888,58.5342270787885,-21.3279414598174,16.8918809551175,18.6031428094855,79.8621685386059,1
7,-3.41583166332665,58.5866735732357,-21.3837393054268,16.8841868675394,18.6014671339045,79.9704128786625,1
8,-3.40180360721443,58.639255443722,-21.439666841904,16.8764672562774,18.599794300909,80.0789222856259,1
9,-3.3877755511022,58.6919731563382,-21.4957244630872,16.8687219942815,18.5981243466255,80.1876976194254,1
10,-3.37374749498998,58.7448271789648,-21.5519125641147,16.8609509536583,18.5964573074251,80.2967397430795,1
11,-3.35971943887776,58.7978179812782,-21.6082315414281,16.8531540056635,18.594793219925,80.4060495227063,1
12,-3.34569138276553,58.8509460347557,-21.664681792776,16.8453310206956,18.5931321209899,80.5156278275317,1
13,-3.33166332665331,58.9042118126822,-21.7212637172173,16.837481868288,18.5914740477325,80.6254755298994,1
14,-3.31763527054108,58.957615790155,-21.7779777151245,16.8296064171024,18.5898190375152,80.7355935052796,1
15,-3.30360721442886,59.0111584440906,-21.8348241881877,16.8217045349213,18.5881671279514,80.8459826322783,1
16,-3.28957915831663,59.0648402532293,-21.8918035394172,16.8137760886404,18.586518356906,80.9566437926466,1
17,-3.27555110220441,59.1186616981421,-21.9489161731476,16.8058209442614,18.5848727624972,81.0675778712897,1
18,-3.26152304609218,59.1726232612353,-22.0061624950407,16.7978389668845,18.5832303830973,81.1787857562759,1
19,-3.24749498997996,59.226725426757,-22.0635429120891,16.7898300207009,18.5815912573339,81.2902683388461,1
